group,group_name,color,parent_group,characteristics,subtype_group,subtype_group_display,parent_group_display
BRCA,Breast invasive carcinoma,#ED2891,TCGA_Study,Organ System: Breast; Major Histological Types: Adenocarcinoma,,,TCGA Study
GBM,Glioblastoma multiforme,#B2509E,TCGA_Study,Organ System: Central Nervous System; Major Histological Types: Other,,,TCGA Study
LGG,Brain Lower Grade Glioma,#D49DC7,TCGA_Study,Organ System: Central Nervous System; Major Histological Types: Other,,,TCGA Study
ACC,Adrenocortical carcinoma,#C1A72F,TCGA_Study,Organ System: Endocrine; Major Histological Types: Other Carcinoma,,,TCGA Study
PCPG,Pheochromocytoma and Paraganglioma,#E8C51D,TCGA_Study,Organ System: Endocrine; Major Histological Types: Other,,,TCGA Study
THCA,Thyroid carcinoma,#F9ED32,TCGA_Study,Organ System: Endocrine; Major Histological Types: Other Carcinoma,,,TCGA Study
CHOL,Cholangiocarcinoma,#104A7F,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,,,TCGA Study
COAD,Colon adenocarcinoma,#9EDDF9,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,,,TCGA Study
ESCA,Esophageal carcinoma,#007EB5,TCGA_Study,"Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Squamous Cell Carcinoma",,,TCGA Study
LIHC,Liver hepatocellular carcinoma,#CACCDB,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Other Carcinoma,,,TCGA Study
PAAD,Pancreatic adenocarcinoma,#6E7BA2,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,,,TCGA Study
READ,Rectum adenocarcinoma,#DAF1FC,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,,,TCGA Study
STAD,Stomach adenocarcinoma,#00AEEF,TCGA_Study,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,,,TCGA Study
CESC,Cervical squamous cell carcinoma and endocervical adenocarcinoma,#F6B667,TCGA_Study,"Organ System: Gynecologic; Major Histological Types: Adenocarcinoma,Squamous Cell Carcinoma",,,TCGA Study
OV,Ovarian serous cystadenocarcinoma,#D97D25,TCGA_Study,Organ System: Gynecologic; Major Histological Types: Adenocarcinoma,,,TCGA Study
UCEC,Uterine Corpus Endometrial Carcinoma,#FBE3C7,TCGA_Study,Organ System: Gynecologic; Major Histological Types: Other Carcinoma,,,TCGA Study
UCS,Uterine Carcinosarcoma,#F89420,TCGA_Study,Organ System: Gynecologic; Major Histological Types: Other,,,TCGA Study
HNSC,Head and Neck squamous cell carcinoma,#97D1A9,TCGA_Study,Organ System: Head and Neck; Major Histological Types: Squamous Cell Carcinoma,,,TCGA Study
UVM,Uveal Melanoma,#009444,TCGA_Study,Organ System: Head and Neck; Major Histological Types: Other,,,TCGA Study
LAML,Acute Myeloid Leukemia,#754C29,TCGA_Study,Organ System: Hematologic; Major Histological Types: Leukemia,,,TCGA Study
THYM,Thymoma,#CEAC8F,TCGA_Study,Organ System: Hematologic; Major Histological Types: Other Carcinoma,,,TCGA Study
DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,#3953A4,TCGA_Study,Organ System: Lymphatic; Major Histological Types: Lymphoma,,,TCGA Study
SKCM,Skin Cutaneous Melanoma,#BBD642,TCGA_Study,Organ System: Skin; Major Histological Types: Other,,,TCGA Study
SARC,Sarcoma,#00A99D,TCGA_Study,Organ System: Soft Tissue; Major Histological Types: Sarcoma,,,TCGA Study
LUAD,Lung adenocarcinoma,#D3C3E0,TCGA_Study,Organ System: Thoracic; Major Histological Types: Adenocarcinoma,,,TCGA Study
LUSC,Lung squamous cell carcinoma,#A084BD,TCGA_Study,Organ System: Thoracic; Major Histological Types: Squamous Cell Carcinoma,,,TCGA Study
MESO,Mesothelioma,#542C88,TCGA_Study,Organ System: Thoracic; Major Histological Types: Other Carcinoma,,,TCGA Study
BLCA,Bladder Urothelial Carcinoma,#FAD2D9,TCGA_Study,Organ System: Urologic; Major Histological Types: Other Carcinoma,,,TCGA Study
KICH,Kidney Chromophobe,#ED1C24,TCGA_Study,Organ System: Urologic; Major Histological Types: Other Carcinoma,,,TCGA Study
KIRC,Kidney renal clear cell carcinoma,#F8AFB3,TCGA_Study,Organ System: Urologic; Major Histological Types: Other Carcinoma,,,TCGA Study
