display,gene,display2,entrez,pathway,therapy_type,description,link
TNFRSF9 (4-1BB),TNFRSF9,4-1BB,3604,Cytokine-cytokine receptor interaction,T-cell targeted immunomodulator,"A co-stimulatory molecule highly expressed by T cells, as well as by other immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;4-1BB"">4-1BB</a>"
TPBG (5T4),TPBG,5T4,7162,Wnt/beta-Catenin pathway,Targeted by Other Immuno-Oncology Therapy Type,5T4 is an antagonist of the Beta-Catenin pathway.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;5T4"">5T4</a>"
ABCB5 (ABCB5),ABCB5,ABCB5,340273,ABC-family proteins mediated transport,Targeted by Other Immuno-Oncology Therapy Type,"A protein highly expressed by melanoma cell, and it is also in the family of ABC transporter and P-glycoprotein family.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ABCB5"">ABCB5</a>"
ACPP (ACPP),ACPP,ACPP,55,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,A enzyme produced by the prostate and generally is elevated in men with prostate cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ACPP"">ACPP</a>"
DPP4 (ADABP),DPP4,ADABP,1803,Protein digestion and absorption,Other immunomodulator,A cell surface marker highly expressed in activated T cell.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ADABP"">ADABP</a>"
ADAM17 (ADAM17),ADAM17,ADAM17,6868,Metallopeptidase,Other immunomodulator,Belongs to metallopeptidase family and help the maturation of TNF.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ADAM17"">ADAM17</a>"
ADAM9 (ADAM9),ADAM9,ADAM9,8754,Metallopeptidase,Other immunomodulator,Belongs to metallopeptidase family.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ADAM9"">ADAM9</a>"
ADORA2A (ADORA2A),ADORA2A,ADORA2A,135,Adenosine receptor pathway,T-cell targeted immunomodulator,It is a popular target in immuno-oncology due to its function of immunosuppressive effects in tumor microenvironment.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ADORA2A"">ADORA2A</a>"
ADORA2B (ADORA2B),ADORA2B,ADORA2B,136,Adenosine receptor pathway,T-cell targeted immunomodulator,It is a popular target in immuno-oncology (not as prevalent as ADORA2A) due to its function of immunosuppressive effects in tumor microenvironment.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;ADORA2B"">ADORA2B</a>"
MTDH (AEG1),MTDH,AEG1,92140,C-MYC Transcriptional Activation,Targeted by Other Immuno-Oncology Therapy Type,A oncogene highly expressed by many cancer cell.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;AEG1"">AEG1</a>"
