FeatureValue,FeatureHex,FeatureName,Characteristics,sample_group,TCGA Studies,FeatureDisplayName
BRCA,#ED2891,Breast invasive carcinoma,Organ System: Breast; Major Histological Types: Adenocarcinoma,Study,,
GBM,#B2509E,Glioblastoma multiforme,Organ System: Central Nervous System; Major Histological Types: Other,Study,,
LGG,#D49DC7,Brain Lower Grade Glioma,Organ System: Central Nervous System; Major Histological Types: Other,Study,,
ACC,#C1A72F,Adrenocortical carcinoma,Organ System: Endocrine; Major Histological Types: Other Carcinoma,Study,,
PCPG,#E8C51D,Pheochromocytoma and Paraganglioma,Organ System: Endocrine; Major Histological Types: Other,Study,,
THCA,#F9ED32,Thyroid carcinoma,Organ System: Endocrine; Major Histological Types: Other Carcinoma,Study,,
CHOL,#104A7F,Cholangiocarcinoma,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Study,,
COAD,#9EDDF9,Colon adenocarcinoma,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Study,,
ESCA,#007EB5,Esophageal carcinoma,"Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Squamous Cell Carcinoma",Study,,
LIHC,#CACCDB,Liver hepatocellular carcinoma,Organ System: Gastrointestinal; Major Histological Types: Other Carcinoma,Study,,
PAAD,#6E7BA2,Pancreatic adenocarcinoma,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Study,,
READ,#DAF1FC,Rectum adenocarcinoma,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Study,,
STAD,#00AEEF,Stomach adenocarcinoma,Organ System: Gastrointestinal; Major Histological Types: Adenocarcinoma,Study,,
CESC,#F6B667,Cervical squamous cell carcinoma and endocervical adenocarcinoma,"Organ System: Gynecologic; Major Histological Types: Adenocarcinoma,Squamous Cell Carcinoma",Study,,
OV,#D97D25,Ovarian serous cystadenocarcinoma,Organ System: Gynecologic; Major Histological Types: Adenocarcinoma,Study,,
UCEC,#FBE3C7,Uterine Corpus Endometrial Carcinoma,Organ System: Gynecologic; Major Histological Types: Other Carcinoma,Study,,
UCS,#F89420,Uterine Carcinosarcoma,Organ System: Gynecologic; Major Histological Types: Other,Study,,
HNSC,#97D1A9,Head and Neck squamous cell carcinoma,Organ System: Head and Neck; Major Histological Types: Squamous Cell Carcinoma,Study,,
UVM,#009444,Uveal Melanoma,Organ System: Head and Neck; Major Histological Types: Other,Study,,
LAML,#754C29,Acute Myeloid Leukemia,Organ System: Hematologic; Major Histological Types: Leukemia,Study,,
THYM,#CEAC8F,Thymoma,Organ System: Hematologic; Major Histological Types: Other Carcinoma,Study,,
DLBC,#3953A4,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Organ System: Lymphatic; Major Histological Types: Lymphoma,Study,,
SKCM,#BBD642,Skin Cutaneous Melanoma,Organ System: Skin; Major Histological Types: Other,Study,,
SARC,#00A99D,Sarcoma,Organ System: Soft Tissue; Major Histological Types: Sarcoma,Study,,
LUAD,#D3C3E0,Lung adenocarcinoma,Organ System: Thoracic; Major Histological Types: Adenocarcinoma,Study,,
LUSC,#A084BD,Lung squamous cell carcinoma,Organ System: Thoracic; Major Histological Types: Squamous Cell Carcinoma,Study,,
MESO,#542C88,Mesothelioma,Organ System: Thoracic; Major Histological Types: Other Carcinoma,Study,,
BLCA,#FAD2D9,Bladder Urothelial Carcinoma,Organ System: Urologic; Major Histological Types: Other Carcinoma,Study,,
KICH,#ED1C24,Kidney Chromophobe,Organ System: Urologic; Major Histological Types: Other Carcinoma,Study,,
KIRC,#F8AFB3,Kidney renal clear cell carcinoma,Organ System: Urologic; Major Histological Types: Other Carcinoma,Study,,
KIRP,#EA7075,Kidney renal papillary cell carcinoma,Organ System: Urologic; Major Histological Types: Other Carcinoma,Study,,
PRAD,#7E1918,Prostate adenocarcinoma,Organ System: Urologic; Major Histological Types: Adenocarcinoma,Study,,
TGCT,#BE1E2D,Testicular Germ Cell Tumors,Organ System: Urologic; Major Histological Types: Other,Study,,
C1,#FF0000,Wound Healing,"Elevated expression of angiogenic genes, a high proliferation rate and a Th2 cell bias to the adaptive immune infiltrate. Colorectal cancer (COAD, READ) and lung squamous cell carcinoma (LUSC) were rich in C1, as were breast carcinoma (BRCA) luminal A (Figure S1C-D), head and neck squamous cell carcinoma (HNSC) classical, and the chromosomally unstable (CIN) gastrointestinal subtype.",Subtype_Immune_Model_Based,,
C2,#FFFF00,IFN-g Dominant,"Highest M1/M2 macrophage polarization, a strong CD8 signal and, together with C6, the greatest TCR diversity. C2 also showed a high proliferation rate, which may override an evolving Type I immune response, and was comprised of highly mutated BRCA, gastric, ovarian (OV), HNSC, and cervical tumors (CESC).",Subtype_Immune_Model_Based,,
C3,#00FF00,Inflammatory,"Defined by elevated Th17 and Th1 genes, low to moderate tumor cell proliferation, and, along with C5, lower levels of aneuploidy and overall somatic copy number alterations than the other subtypes. C3 was enriched in most kidney, prostate (PRAD), pancreatic cancers (PAAD), and papillary thyroid carcinomas (THCA).",Subtype_Immune_Model_Based,,
