sample,link
TCGA-05-4410,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-05-4410-01Z-00-DX1"">TCGA-05-4410-01Z-00-DX1</a>"
TCGA-05-4424,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-05-4424-01Z-00-DX1"">TCGA-05-4424-01Z-00-DX1</a>"
TCGA-05-4425,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-05-4425-01Z-00-DX1"">TCGA-05-4425-01Z-00-DX1</a>"
TCGA-21-5783,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-21-5783-01Z-00-DX1"">TCGA-21-5783-01Z-00-DX1</a>"
TCGA-2A-A8VX,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2A-A8VX-01Z-00-DX1"">TCGA-2A-A8VX-01Z-00-DX1</a>"
TCGA-2A-A8W3,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2A-A8W3-01Z-00-DX1"">TCGA-2A-A8W3-01Z-00-DX1</a>"
TCGA-2J-AAB4,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2J-AAB4-01Z-00-DX1"">TCGA-2J-AAB4-01Z-00-DX1</a>"
TCGA-2J-AAB6,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2J-AAB6-01Z-00-DX1"">TCGA-2J-AAB6-01Z-00-DX1</a>"
TCGA-2J-AAB8,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2J-AAB8-01Z-00-DX1"">TCGA-2J-AAB8-01Z-00-DX1</a>"
TCGA-2J-AAB9,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2J-AAB9-01Z-00-DX1"">TCGA-2J-AAB9-01Z-00-DX1</a>"
TCGA-2J-AABV,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-2J-AABV-01Z-00-DX1"">TCGA-2J-AABV-01Z-00-DX1</a>"
TCGA-34-2596,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-34-2596-01Z-00-DX1"">TCGA-34-2596-01Z-00-DX1</a>"
TCGA-34-5240,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-34-5240-01Z-00-DX1"">TCGA-34-5240-01Z-00-DX1</a>"
TCGA-34-5928,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-34-5928-01Z-00-DX1"">TCGA-34-5928-01Z-00-DX1</a>"
TCGA-34-A5IX,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-34-A5IX-01Z-00-DX1"">TCGA-34-A5IX-01Z-00-DX1</a>"
TCGA-37-4141,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-37-4141-01Z-00-DX1"">TCGA-37-4141-01Z-00-DX1</a>"
TCGA-3A-A9I5,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-3A-A9I5-01Z-00-DX1"">TCGA-3A-A9I5-01Z-00-DX1</a>"
TCGA-3A-A9IB,"<a href=""https://quip1.bmi.stonybrook.edu:443/camicroscope/osdCamicroscope.php?tissueId=TCGA-3A-A9IB-01Z-00-DX1"">TCGA-3A-A9IB-01Z-00-DX1</a>"
