From,To,Group,ratioScore
A2M,LRP1,C1,2.96981132075472
A2M,LRP1,C2,3.02197802197802
A2M,LRP1,C3,3.64186046511628
A2M,LRP1,C4,4.69911504424779
A2M,LRP1,C5,1.61904761904762
A2M,LRP1,C6,15.625
AANAT,MTNR1A,C1,0.973867595818815
AANAT,MTNR1A,C2,1.02758620689655
AANAT,MTNR1A,C3,1.06875
AANAT,MTNR1A,C4,1.21518987341772
AANAT,MTNR1A,C5,0.902912621359223
AANAT,MTNR1A,C6,1.33333333333333
AANAT,MTNR1B,C1,1.08967391304348
AANAT,MTNR1B,C2,0.908898305084746
AANAT,MTNR1B,C3,0.997821350762527
AANAT,MTNR1B,C4,1.43661971830986
AANAT,MTNR1B,C5,2.05
AANAT,MTNR1B,C6,1.36666666666667
ABCA1,B_cells,C1,0.893309222423147
ABCA1,B_cells,C2,0.846020761245675
ABCA1,B_cells,C3,0.673282442748092
ABCA1,B_cells,C4,0.441919191919192
ABCA1,B_cells,C5,0.322916666666667
ABCA1,B_cells,C6,0.596491228070175
ABCA1,Eosinophils,C1,0.919928825622776
ABCA1,Eosinophils,C2,0.966101694915254
ABCA1,Eosinophils,C3,0.796445880452342
ABCA1,Eosinophils,C4,1.03676470588235
ABCA1,Eosinophils,C5,2.2289156626506
ABCA1,Eosinophils,C6,0.851063829787234
ABCA1,Macrophage,C1,1.41538461538462
ABCA1,Macrophage,C2,1.49019607843137
ABCA1,Macrophage,C3,1.74611398963731
ABCA1,Macrophage,C4,2.49723756906077
ABCA1,Macrophage,C5,3.44444444444444
ABCA1,Macrophage,C6,2.375
ABCA1,Mast_cells,C1,0.812714776632302
ABCA1,Mast_cells,C2,0.964015151515152
ABCA1,Mast_cells,C3,0.58
ABCA1,Mast_cells,C4,0.85
ABCA1,Mast_cells,C5,3.32258064516129
ABCA1,Mast_cells,C6,0.604651162790698
ABCA1,NK_cells,C1,0.979963570127505
ABCA1,NK_cells,C2,0.812913907284768
ABCA1,NK_cells,C3,0.90017825311943
ABCA1,NK_cells,C4,0.989583333333333
ABCA1,NK_cells,C5,1.4
ABCA1,NK_cells,C6,0.360655737704918
ABCA1,Neutrophils,C1,1.41479820627803
ABCA1,Neutrophils,C2,1.15587044534413
ABCA1,Neutrophils,C3,1.81770833333333
ABCA1,Neutrophils,C4,2.51515151515152
ABCA1,Neutrophils,C5,2.14864864864865
ABCA1,Neutrophils,C6,1.875
ABCA1,T_cells_CD4,C1,1.08301886792453
ABCA1,T_cells_CD4,C2,1.58986175115207
ABCA1,T_cells_CD4,C3,1.18687872763419
ABCA1,T_cells_CD4,C4,0.820689655172414
ABCA1,T_cells_CD4,C5,0.692307692307692
ABCA1,T_cells_CD4,C6,1.46666666666667
ACE,AGTR2,C1,1.22418136020151
ACE,AGTR2,C2,1.57033248081841
ACE,AGTR2,C3,1.29828326180258
ACE,AGTR2,C4,1.43303571428571
ACE,AGTR2,C5,2.92857142857143
ACE,AGTR2,C6,2.69230769230769
ACE,BDKRB2,C1,1.86666666666667
ACE,BDKRB2,C2,0.668067226890756
ACE,BDKRB2,C3,1.83701657458564
ACE,BDKRB2,C4,2.5
ACE,BDKRB2,C5,21.4375
ACE,BDKRB2,C6,4.66666666666667
ACVR1,Macrophage,C1,1.76555023923445
ACVR1,Macrophage,C2,1.6390243902439
ACVR1,Macrophage,C3,1.18398268398268
ACVR1,Macrophage,C4,1.24242424242424
ACVR1,Macrophage,C5,0.588235294117647
ACVR1,Macrophage,C6,3.85
ACVR1,Mast_cells,C1,0.850953206239168
ACVR1,Mast_cells,C2,1.20731707317073
ACVR1,Mast_cells,C3,0.786885245901639
ACVR1,Mast_cells,C4,0.643059490084986
ACVR1,Mast_cells,C5,0.271084337349398
ACVR1,Mast_cells,C6,0.880952380952381
ACVR1,T_cells_CD4,C1,1.10126582278481
ACVR1,T_cells_CD4,C2,1.76794258373206
ACVR1,T_cells_CD4,C3,1.23010752688172
ACVR1,T_cells_CD4,C4,0.936329588014981
ACVR1,T_cells_CD4,C5,1.4
ACVR1,T_cells_CD4,C6,1.52777777777778
ACVR1,T_cells_CD8,C1,0.637480798771121
ACVR1,T_cells_CD8,C2,0.4923273657289
ACVR1,T_cells_CD8,C3,0.951076320939335
ACVR1,T_cells_CD8,C4,1.09677419354839
ACVR1,T_cells_CD8,C5,6.8
ACVR1,T_cells_CD8,C6,0.385714285714286
ACVR1B,Macrophage,C1,0.742857142857143
ACVR1B,Macrophage,C2,0.857638888888889
ACVR1B,Macrophage,C3,0.858603066439523
ACVR1B,Macrophage,C4,0.493827160493827
ACVR1B,Macrophage,C5,0.307692307692308
ACVR1B,Macrophage,C6,0.78
ACVR1B,Mast_cells,C1,1.17916666666667
ACVR1B,Mast_cells,C2,1.23408624229979
ACVR1B,Mast_cells,C3,1.56483516483516
ACVR1B,Mast_cells,C4,0.854889589905363
ACVR1B,Mast_cells,C5,1.08219178082192
ACVR1B,Mast_cells,C6,1
ACVR2A,Macrophage,C1,0.951807228915663
ACVR2A,Macrophage,C2,0.823529411764706
ACVR2A,Macrophage,C3,0.565217391304348
ACVR2A,Macrophage,C4,0.587926509186352
ACVR2A,Macrophage,C5,0.797297297297297
ACVR2A,Macrophage,C6,1.45454545454545
ACVR2A,NK_cells,C1,0.904682274247492
ACVR2A,NK_cells,C2,0.75177304964539
ACVR2A,NK_cells,C3,1.00811359026369
ACVR2A,NK_cells,C4,0.878205128205128
ACVR2A,NK_cells,C5,1.45098039215686
ACVR2A,NK_cells,C6,0.464285714285714
ACVR2A,T_cells_CD4,C1,1.11299435028249
ACVR2A,T_cells_CD4,C2,1.36126629422719
ACVR2A,T_cells_CD4,C3,2.43434343434343
ACVR2A,T_cells_CD4,C4,1.33624454148472
ACVR2A,T_cells_CD4,C5,0.950819672131147
ACVR2A,T_cells_CD4,C6,1.60714285714286
ADAM10,AXL,C1,1.51945080091533
ADAM10,AXL,C2,1.54357798165138
ADAM10,AXL,C3,2.5202492211838
ADAM10,AXL,C4,1.47619047619048
ADAM10,AXL,C5,0.184873949579832
ADAM10,AXL,C6,3.2
ADAM10,EPHA3,C1,1.55242966751918
ADAM10,EPHA3,C2,1.71395348837209
ADAM10,EPHA3,C3,1.96519721577726
ADAM10,EPHA3,C4,1.44690265486726
ADAM10,EPHA3,C5,0.4375
ADAM10,EPHA3,C6,2.95454545454545
ADAM12,ITGA9,C1,1.32832080200501
ADAM12,ITGA9,C2,1.0952380952381
ADAM12,ITGA9,C3,0.686567164179104
ADAM12,ITGA9,C4,1.88405797101449
ADAM12,ITGA9,C5,13.25
ADAM12,ITGA9,C6,9.66666666666667
ADAM12,ITGB1,C1,4.61878453038674
ADAM12,ITGB1,C2,3.79807692307692
ADAM12,ITGB1,C3,2.1994301994302
ADAM12,ITGB1,C4,2.15104166666667
ADAM12,ITGB1,C5,181
ADAM12,ITGB1,C6,12.1111111111111
ADAM12,SDC4,C1,0.911255411255411
ADAM12,SDC4,C2,1.09817351598174
ADAM12,SDC4,C3,0.912037037037037
ADAM12,SDC4,C4,0.582089552238806
ADAM12,SDC4,C5,11.3793103448276
ADAM12,SDC4,C6,0.788461538461538
ADAM15,ITGA5,C1,1.09224318658281
ADAM15,ITGA5,C2,1.41043083900227
ADAM15,ITGA5,C3,0.85607476635514
ADAM15,ITGA5,C4,2.07729468599034
ADAM15,ITGA5,C5,185
ADAM15,ITGA5,C6,2.24
ADAM15,ITGA9,C1,0.682291666666667
ADAM15,ITGA9,C2,0.507853403141361
ADAM15,ITGA9,C3,0.825657894736842
ADAM15,ITGA9,C4,1.88789237668161
ADAM15,ITGA9,C5,11.7777777777778
ADAM15,ITGA9,C6,1.82608695652174
ADAM15,ITGAV,C1,0.742160278745645
ADAM15,ITGAV,C2,0.735152487961477
ADAM15,ITGAV,C3,0.469959946595461
ADAM15,ITGAV,C4,0.867052023121387
ADAM15,ITGAV,C5,0.0963302752293578
ADAM15,ITGAV,C6,1.6551724137931
ADAM15,ITGB1,C1,1.07359307359307
ADAM15,ITGB1,C2,1.02010968921389
ADAM15,ITGB1,C3,0.657980456026059
ADAM15,ITGB1,C4,2.2979797979798
ADAM15,ITGB1,C5,185.5
ADAM15,ITGB1,C6,2
ADAM15,ITGB3,C1,0.745059288537549
ADAM15,ITGB3,C2,0.51831750339213
ADAM15,ITGB3,C3,0.362214199759326
ADAM15,ITGB3,C4,1.14840989399293
ADAM15,ITGB3,C5,26
ADAM15,ITGB3,C6,1.75
ADAM17,ERBB4,C1,1.28059071729958
ADAM17,ERBB4,C2,0.938967136150235
ADAM17,ERBB4,C3,1.14681440443213
ADAM17,ERBB4,C4,3.94074074074074
ADAM17,ERBB4,C5,2.73469387755102
ADAM17,ERBB4,C6,4.3
ADAM17,ITGA5,C1,2.27246376811594
ADAM17,ITGA5,C2,1.54859611231102
ADAM17,ITGA5,C3,1.65642458100559
ADAM17,ITGA5,C4,1.1541095890411
ADAM17,ITGA5,C5,0.406015037593985
ADAM17,ITGA5,C6,2.4
ADAM17,ITGB1,C1,2.30407523510972
ADAM17,ITGB1,C2,1.90821256038647
ADAM17,ITGB1,C3,2.76315789473684
ADAM17,ITGB1,C4,1.09646302250804
ADAM17,ITGB1,C5,0.388059701492537
ADAM17,ITGB1,C6,4.13333333333333
ADAM17,NOTCH1,C1,1.26338329764454
ADAM17,NOTCH1,C2,1.52083333333333
ADAM17,NOTCH1,C3,4.9873417721519
