From,To,Group,ratioScore
A2M,LRP1,ACC,2.36363636363636
A2M,LRP1,BLCA,6.11111111111111
A2M,LRP1,BRCA,5.93103448275862
A2M,LRP1,CESC,1.73015873015873
A2M,LRP1,CHOL,4.33333333333333
A2M,LRP1,COAD,3.4468085106383
A2M,LRP1,ESCA,1.31428571428571
A2M,LRP1,GBM,16
A2M,LRP1,HNSC,1.24489795918367
A2M,LRP1,KICH,2.54545454545455
A2M,LRP1,KIRC,2.23809523809524
A2M,LRP1,KIRP,15.875
A2M,LRP1,LGG,2.36986301369863
A2M,LRP1,LIHC,8.35714285714286
A2M,LRP1,LUAD,4.38461538461539
A2M,LRP1,LUSC,3.47916666666667
A2M,LRP1,MESO,0.466666666666667
A2M,LRP1,OV,7.5
A2M,LRP1,PAAD,21
A2M,LRP1,PCPG,1.45833333333333
A2M,LRP1,PRAD,2.6875
A2M,LRP1,READ,1.32142857142857
A2M,LRP1,SARC,3.8125
A2M,LRP1,SKCM,0.952380952380952
A2M,LRP1,STAD,6.375
A2M,LRP1,TGCT,3.53846153846154
A2M,LRP1,THCA,1.26086956521739
A2M,LRP1,UCEC,7.75
A2M,LRP1,UCS,2.28571428571429
A2M,LRP1,UVM,1.27777777777778
AANAT,MTNR1A,ACC,5.6
AANAT,MTNR1A,BLCA,1.24324324324324
AANAT,MTNR1A,BRCA,2.14876033057851
AANAT,MTNR1A,CESC,0.912280701754386
AANAT,MTNR1A,CHOL,1.28571428571429
AANAT,MTNR1A,COAD,0.59375
AANAT,MTNR1A,ESCA,1.41860465116279
AANAT,MTNR1A,GBM,0.622641509433962
AANAT,MTNR1A,HNSC,1.1978021978022
AANAT,MTNR1A,KICH,1.125
AANAT,MTNR1A,KIRC,0.942307692307692
AANAT,MTNR1A,KIRP,1.73584905660377
AANAT,MTNR1A,LGG,0.808510638297872
AANAT,MTNR1A,LIHC,2.44897959183673
AANAT,MTNR1A,LUAD,0.67175572519084
AANAT,MTNR1A,LUSC,1.1219512195122
AANAT,MTNR1A,MESO,0.6
AANAT,MTNR1A,OV,0.742268041237113
AANAT,MTNR1A,PAAD,0.909090909090909
AANAT,MTNR1A,PCPG,0.523809523809524
AANAT,MTNR1A,PRAD,0.608695652173913
AANAT,MTNR1A,READ,0.735849056603774
AANAT,MTNR1A,SARC,2.2
AANAT,MTNR1A,SKCM,0.416666666666667
AANAT,MTNR1A,STAD,0.714285714285714
AANAT,MTNR1A,TGCT,0.659574468085106
AANAT,MTNR1A,THCA,0.863636363636364
