Node,Group,UpBinRatio
A2M,C1,0.551738410596026
A2M,C2,0.552296410652258
A2M,C3,0.858573216520651
A2M,C4,0.709342560553633
A2M,C5,0.781818181818182
A2M,C6,0.95
AANAT,C1,0.629139072847682
AANAT,C2,0.676833976833977
AANAT,C3,0.658322903629537
AANAT,C4,0.67847882454624
AANAT,C5,0.961038961038961
AANAT,C6,0.6
ABCA1,C1,0.535182119205298
ABCA1,C2,0.670011578541104
ABCA1,C3,0.726741760534001
ABCA1,C4,0.717128027681661
ABCA1,C5,0.924675324675325
ABCA1,C6,0.877777777777778
ACE,C1,0.704884105960265
ACE,C2,0.649942107294481
ACE,C3,0.812682519816437
ACE,C4,0.513840830449827
ACE,C5,0.0571428571428571
ACE,C6,0.905555555555556
ACVR1,C1,0.627743271221532
ACVR1,C2,0.664608259359321
ACVR1,C3,0.807676261994159
ACVR1,C4,0.554019014693172
ACVR1,C5,0.32987012987013
ACVR1,C6,0.955555555555556
ACVR1B,C1,0.702277432712215
ACVR1B,C2,0.626785025086839
ACVR1B,C3,0.717980809345015
ACVR1B,C4,0.590319792566984
ACVR1B,C5,0.716883116883117
ACVR1B,C6,0.633333333333333
ACVR2A,C1,0.667218543046358
ACVR2A,C2,0.553840216132767
ACVR2A,C3,0.80517313308302
ACVR2A,C4,0.570934256055363
ACVR2A,C5,0.867532467532467
ACVR2A,C6,0.794444444444444
ADAM10,C1,0.704884105960265
ADAM10,C2,0.693436293436293
ADAM10,C3,0.718815185648728
ADAM10,C4,0.520311149524633
ADAM10,C5,0.371428571428571
ADAM10,C6,0.816666666666667
ADAM12,C1,0.841887417218543
ADAM12,C2,0.824006175221922
ADAM12,C3,0.476011681268252
ADAM12,C4,0.529411764705882
ADAM12,C5,0.0467532467532468
ADAM12,C6,0.966666666666667
ADAM15,C1,0.823261589403974
ADAM15,C2,0.807410266306446
ADAM15,C3,0.574885273258239
ADAM15,C4,0.42560553633218
ADAM15,C5,0.0207792207792208
ADAM15,C6,0.861111111111111
ADAM17,C1,0.725165562913907
ADAM17,C2,0.79351601698186
ADAM17,C3,0.504173622704508
ADAM17,C4,0.535868625756266
ADAM17,C5,0.849350649350649
ADAM17,C6,0.838888888888889
ADAM2,C1,0.669775095995612
ADAM2,C2,0.664804469273743
ADAM2,C3,0.677110530896432
ADAM2,C4,0.668549905838041
ADAM2,C5,0.657142857142857
ADAM2,C6,0.678362573099415
ADAM23,C1,0.711801242236025
ADAM23,C2,0.720957159397916
ADAM23,C3,0.534000834376304
ADAM23,C4,0.63180639585134
ADAM23,C5,0.950649350649351
ADAM23,C6,0.833333333333333
ADAM28,C1,0.625672877846791
ADAM28,C2,0.754920879969124
ADAM28,C3,0.653733833959116
ADAM28,C4,0.515989628349179
ADAM28,C5,0.818181818181818
ADAM28,C6,0.933333333333333
ADAM9,C1,0.723509933774834
ADAM9,C2,0.661906599768429
ADAM9,C3,0.700876095118899
ADAM9,C4,0.541522491349481
ADAM9,C5,0.485714285714286
ADAM9,C6,0.877777777777778
ADCYAP1,C1,0.674120082815735
ADCYAP1,C2,0.653415669625627
ADCYAP1,C3,0.701293283270755
ADCYAP1,C4,0.576490924805532
ADCYAP1,C5,0.771428571428571
ADCYAP1,C6,0.822222222222222
ADIPOQ,C1,0.715809893307469
ADIPOQ,C2,0.719816819317236
ADIPOQ,C3,0.601879538658693
ADIPOQ,C4,0.604405286343612
ADIPOQ,C5,0.680519480519481
ADIPOQ,C6,0.764044943820225
ADIPOR1,C1,0.709023178807947
ADIPOR1,C2,0.769201080663836
ADIPOR1,C3,0.645390070921986
ADIPOR1,C4,0.611063094209162
ADIPOR1,C5,0.0649350649350649
ADIPOR1,C6,0.720670391061453
ADIPOR2,C1,0.71067880794702
ADIPOR2,C2,0.711308375144732
ADIPOR2,C3,0.542570951585977
ADIPOR2,C4,0.681936041486603
ADIPOR2,C5,0.948051948051948
ADIPOR2,C6,0.555555555555556
ADM,C1,0.733443708609272
ADM,C2,0.721729062138171
ADM,C3,0.664163537755528
ADM,C4,0.5980985306828
