Node,Group,UpBinRatio
A2M,ACC,0.692307692307692
A2M,BLCA,0.478589420654912
A2M,BRCA,0.823638042474608
A2M,CESC,0.120401337792642
A2M,CHOL,0.657142857142857
A2M,COAD,0.294784580498866
A2M,ESCA,0.497109826589595
A2M,GBM,0.974025974025974
A2M,HNSC,0.245136186770428
A2M,KICH,0.538461538461538
A2M,KIRC,0.968932038834951
A2M,KIRP,0.512544802867383
A2M,LGG,0.850194552529183
A2M,LIHC,0.922651933701657
A2M,LUAD,0.903719912472648
A2M,LUSC,0.551440329218107
A2M,MESO,0.614457831325301
A2M,OV,0.382899628252788
A2M,PAAD,0.927152317880795
A2M,PCPG,0.713483146067416
A2M,PRAD,0.795061728395062
A2M,READ,0.314102564102564
A2M,SARC,0.883408071748879
A2M,SKCM,0.825242718446602
A2M,STAD,0.78772378516624
A2M,TGCT,0.812080536912752
A2M,THCA,0.796
A2M,UCEC,0.53219696969697
A2M,UCS,0.649122807017544
A2M,UVM,0.9875
AANAT,ACC,0.320512820512821
AANAT,BLCA,0.604534005037784
AANAT,BRCA,0.491228070175439
AANAT,CESC,0.756666666666667
AANAT,CHOL,0.685714285714286
AANAT,COAD,0.566893424036281
AANAT,ESCA,0.710982658959538
AANAT,GBM,0.980519480519481
AANAT,HNSC,0.702334630350195
AANAT,KICH,0.646153846153846
AANAT,KIRC,0.751456310679612
AANAT,KIRP,0.878136200716846
AANAT,LGG,0.990272373540856
AANAT,LIHC,0.350828729281768
AANAT,LUAD,0.62582056892779
AANAT,LUSC,0.746913580246914
AANAT,MESO,0.771084337349398
AANAT,OV,0.806691449814126
AANAT,PAAD,0.662251655629139
AANAT,PCPG,0.808988764044944
AANAT,PRAD,0.506172839506173
AANAT,READ,0.621794871794872
AANAT,SARC,0.57847533632287
AANAT,SKCM,0.805825242718447
AANAT,STAD,0.5
AANAT,TGCT,0.979865771812081
AANAT,THCA,0.774
AANAT,UCEC,0.65530303030303
AANAT,UCS,0.824561403508772
AANAT,UVM,0.775
ABCA1,ACC,0.602564102564103
ABCA1,BLCA,0.6272040302267
ABCA1,BRCA,0.595567867036011
ABCA1,CESC,0.49
ABCA1,CHOL,0.2
ABCA1,COAD,0.247727272727273
ABCA1,ESCA,0.734104046242775
ABCA1,GBM,0.980519480519481
ABCA1,HNSC,0.780155642023346
ABCA1,KICH,0.738461538461539
ABCA1,KIRC,0.963106796116505
ABCA1,KIRP,0.888888888888889
ABCA1,LGG,0.943579766536965
ABCA1,LIHC,0.925414364640884
ABCA1,LUAD,0.728665207877462
ABCA1,LUSC,0.864197530864198
ABCA1,MESO,0.807228915662651
ABCA1,OV,0.706319702602231
ABCA1,PAAD,0.615894039735099
ABCA1,PCPG,0.235955056179775
ABCA1,PRAD,0.246913580246914
ABCA1,READ,0.205128205128205
ABCA1,SARC,0.668161434977579
ABCA1,SKCM,0.631067961165049
ABCA1,STAD,0.682864450127877
ABCA1,TGCT,0.852348993288591
ABCA1,THCA,0.804
ABCA1,UCEC,0.503787878787879
ABCA1,UCS,0.43859649122807
ABCA1,UVM,0.5125
ACE,ACC,0.282051282051282
ACE,BLCA,0.400503778337531
ACE,BRCA,0.770083102493075
ACE,CESC,0.31
ACE,CHOL,0.6
ACE,COAD,0.90249433106576
ACE,ESCA,0.578034682080925
ACE,GBM,0.688311688311688
ACE,HNSC,0.361867704280156
ACE,KICH,0.292307692307692
ACE,KIRC,0.924271844660194
ACE,KIRP,0.705035971223022
ACE,LGG,0.16147859922179
ACE,LIHC,0.223756906077348
ACE,LUAD,0.923413566739606
ACE,LUSC,0.773662551440329
ACE,MESO,0.337349397590361
ACE,OV,0.572490706319703
ACE,PAAD,0.986754966887417
ACE,PCPG,0.99438202247191
ACE,PRAD,0.841975308641975
ACE,READ,0.897435897435897
ACE,SARC,0.668161434977579
ACE,SKCM,0.194174757281553
ACE,STAD,0.910485933503836
ACE,TGCT,0.966442953020134
ACE,THCA,0.802
ACE,UCEC,0.837121212121212
ACE,UCS,0.701754385964912
ACE,UVM,0.0125
ACVR1,ACC,0.115384615384615
ACVR1,BLCA,0.351010101010101
ACVR1,BRCA,0.738688827331487
ACVR1,CESC,0.486666666666667
ACVR1,CHOL,0.914285714285714
ACVR1,COAD,0.1859410430839
ACVR1,ESCA,0.84393063583815
ACVR1,GBM,0.590909090909091
ACVR1,HNSC,0.784046692607004
ACVR1,KICH,0.784615384615385
ACVR1,KIRC,0.895145631067961
ACVR1,KIRP,0.845878136200717
ACVR1,LGG,0.367704280155642
ACVR1,LIHC,0.389502762430939
ACVR1,LUAD,0.912472647702407
ACVR1,LUSC,0.87037037037037
ACVR1,MESO,0.939759036144578
ACVR1,OV,0.836431226765799
ACVR1,PAAD,0.973509933774834
ACVR1,PCPG,0.910112359550562
ACVR1,PRAD,0.476543209876543
ACVR1,READ,0.205128205128205
ACVR1,SARC,0.910313901345291
ACVR1,SKCM,0.766990291262136
ACVR1,STAD,0.772378516624041
ACVR1,TGCT,0.671140939597315
ACVR1,THCA,0.988
ACVR1,UCEC,0.553030303030303
ACVR1,UCS,0.649122807017544
ACVR1,UVM,0.05
ACVR1B,ACC,0.641025641025641
ACVR1B,BLCA,0.458438287153652
ACVR1B,BRCA,0.687903970452447
ACVR1B,CESC,0.633333333333333
ACVR1B,CHOL,0.685714285714286
ACVR1B,COAD,0.893424036281179
ACVR1B,ESCA,0.739884393063584
ACVR1B,GBM,0.318181818181818
ACVR1B,HNSC,0.642023346303502
ACVR1B,KICH,0.969230769230769
ACVR1B,KIRC,0.937864077669903
ACVR1B,KIRP,0.953405017921147
ACVR1B,LGG,0.642023346303502
ACVR1B,LIHC,0.674033149171271
ACVR1B,LUAD,0.728070175438597
ACVR1B,LUSC,0.711934156378601
ACVR1B,MESO,0.180722891566265
ACVR1B,OV,0.780669144981413
ACVR1B,PAAD,0.814569536423841
ACVR1B,PCPG,0.955056179775281
ACVR1B,PRAD,0.883950617283951
ACVR1B,READ,0.935897435897436
ACVR1B,SARC,0.103139013452915
ACVR1B,SKCM,0.135922330097087
ACVR1B,STAD,0.767263427109974
ACVR1B,TGCT,0.879194630872483
ACVR1B,THCA,0.162
ACVR1B,UCEC,0.640151515151515
ACVR1B,UCS,0.614035087719298
ACVR1B,UVM,0.175
ACVR2A,ACC,0.333333333333333
ACVR2A,BLCA,0.720403022670025
ACVR2A,BRCA,0.617375231053605
ACVR2A,CESC,0.603333333333333
ACVR2A,CHOL,0.742857142857143
ACVR2A,COAD,0.578231292517007
ACVR2A,ESCA,0.699421965317919
ACVR2A,GBM,0.590909090909091
ACVR2A,HNSC,0.424124513618677
ACVR2A,KICH,0.323076923076923
ACVR2A,KIRC,0.796116504854369
ACVR2A,KIRP,0.82078853046595
ACVR2A,LGG,0.828793774319066
ACVR2A,LIHC,0.511049723756906
ACVR2A,LUAD,0.562363238512035
ACVR2A,LUSC,0.681069958847737
ACVR2A,MESO,0.626506024096386
ACVR2A,OV,0.672862453531598
ACVR2A,PAAD,0.95364238410596
ACVR2A,PCPG,0.943820224719101
ACVR2A,PRAD,0.950617283950617
ACVR2A,READ,0.551282051282051
ACVR2A,SARC,0.659192825112108
ACVR2A,SKCM,0.29126213592233
ACVR2A,STAD,0.695652173913044
ACVR2A,TGCT,0.778523489932886
ACVR2A,THCA,0.908
ACVR2A,UCEC,0.534090909090909
ACVR2A,UCS,0.87719298245614
ACVR2A,UVM,0.2
ADAM10,ACC,0.128205128205128
ADAM10,BLCA,0.818639798488665
ADAM10,BRCA,0.722068328716528
ADAM10,CESC,0.62
ADAM10,CHOL,0.742857142857143
ADAM10,COAD,0.678004535147392
ADAM10,ESCA,0.92485549132948
ADAM10,GBM,0.415584415584416
ADAM10,HNSC,0.776264591439689
ADAM10,KICH,0.769230769230769
ADAM10,KIRC,0.869902912621359
ADAM10,KIRP,0.767025089605735
ADAM10,LGG,0.391050583657588
ADAM10,LIHC,0.37292817679558
ADAM10,LUAD,0.695842450765864
ADAM10,LUSC,0.874485596707819
ADAM10,MESO,0.855421686746988
ADAM10,OV,0.669144981412639
ADAM10,PAAD,0.867549668874172
ADAM10,PCPG,0.129213483146067
ADAM10,PRAD,0.876543209876543
ADAM10,READ,0.583333333333333
ADAM10,SARC,0.403587443946188
ADAM10,SKCM,0.689320388349515
ADAM10,STAD,0.882352941176471
ADAM10,TGCT,0.604026845637584
ADAM10,THCA,0.69
ADAM10,UCEC,0.428842504743833
ADAM10,UCS,0.175438596491228
ADAM10,UVM,0.55
ADAM12,ACC,0.230769230769231
ADAM12,BLCA,0.780856423173804
ADAM12,BRCA,0.989843028624192
ADAM12,CESC,0.686666666666667
ADAM12,CHOL,0.514285714285714
ADAM12,COAD,0.761904761904762
ADAM12,ESCA,0.838150289017341
ADAM12,GBM,0.941558441558442
ADAM12,HNSC,0.96692607003891
ADAM12,KICH,0.169230769230769
ADAM12,KIRC,0.572815533980583
ADAM12,KIRP,0.43010752688172
ADAM12,LGG,0.202334630350195
ADAM12,LIHC,0.177285318559557
ADAM12,LUAD,0.818380743982494
ADAM12,LUSC,0.954732510288066
ADAM12,MESO,0.843373493975904
ADAM12,OV,0.669144981412639
ADAM12,PAAD,0.933774834437086
ADAM12,PCPG,0.432584269662921
ADAM12,PRAD,0.0345679012345679
ADAM12,READ,0.730769230769231
ADAM12,SARC,0.905829596412556
ADAM12,SKCM,0.941747572815534
ADAM12,STAD,0.754475703324808
ADAM12,TGCT,0.63758389261745
ADAM12,THCA,0.328
ADAM12,UCEC,0.676136363636364
ADAM12,UCS,0.912280701754386
ADAM12,UVM,0.9625
ADAM15,ACC,0.0256410256410256
ADAM15,BLCA,0.871536523929471
ADAM15,BRCA,0.903970452446907
ADAM15,CESC,0.913333333333333
ADAM15,CHOL,0.657142857142857
ADAM15,COAD,0.941043083900227
ADAM15,ESCA,0.745664739884393
ADAM15,GBM,0.123376623376623
ADAM15,HNSC,0.924124513618677
ADAM15,KICH,0.0307692307692308
ADAM15,KIRC,0.22568093385214
ADAM15,KIRP,0.111111111111111
ADAM15,LGG,0.0428015564202335
ADAM15,LIHC,0.469613259668508
ADAM15,LUAD,0.925601750547046
ADAM15,LUSC,0.732510288065844
ADAM15,MESO,0.927710843373494
ADAM15,OV,0.609665427509294
ADAM15,PAAD,0.927152317880795
ADAM15,PCPG,0.303370786516854
ADAM15,PRAD,0.958024691358025
ADAM15,READ,0.891025641025641
ADAM15,SARC,0.753363228699552
ADAM15,SKCM,0.902912621359223
ADAM15,STAD,0.675191815856778
ADAM15,TGCT,0.0738255033557047
ADAM15,THCA,0.62
ADAM15,UCEC,0.84469696969697
ADAM15,UCS,0.578947368421053
ADAM15,UVM,0.5625
ADAM17,ACC,0.0897435897435897
ADAM17,BLCA,0.785894206549118
ADAM17,BRCA,0.830101569713758
ADAM17,CESC,0.836666666666667
ADAM17,CHOL,0.571428571428571
ADAM17,COAD,0.501133786848073
ADAM17,ESCA,0.936416184971098
ADAM17,GBM,0.967532467532468
ADAM17,HNSC,0.906614785992218
ADAM17,KICH,0.107692307692308
ADAM17,KIRC,0.78252427184466
ADAM17,KIRP,0.419354838709677
ADAM17,LGG,0.908560311284047
ADAM17,LIHC,0.0856353591160221
ADAM17,LUAD,0.916849015317287
ADAM17,LUSC,0.989711934156379
ADAM17,MESO,0.843373493975904
ADAM17,OV,0.977695167286245
ADAM17,PAAD,0.76158940397351
ADAM17,PCPG,0.106741573033708
ADAM17,PRAD,0.0691358024691358
ADAM17,READ,0.487179487179487
ADAM17,SARC,0.504504504504505
ADAM17,SKCM,0.58252427184466
ADAM17,STAD,0.593350383631714
ADAM17,TGCT,0.724832214765101
ADAM17,THCA,0.534
ADAM17,UCEC,0.581439393939394
ADAM17,UCS,0.701754385964912
ADAM17,UVM,0.0625
ADAM2,ACC,0.666666666666667
ADAM2,BLCA,0.712846347607053
ADAM2,BRCA,0.68421052631579
ADAM2,CESC,0.613333333333333
ADAM2,CHOL,0.514285714285714
ADAM2,COAD,0.586330935251799
ADAM2,ESCA,
ADAM2,GBM,0.61038961038961
ADAM2,HNSC,0.651750972762646
ADAM2,KICH,0.907692307692308
ADAM2,KIRC,0.61747572815534
ADAM2,KIRP,0.609318996415771
ADAM2,LGG,0.642023346303502
ADAM2,LIHC,0.681440443213297
ADAM2,LUAD,0.691466083150985
ADAM2,LUSC,0.6440329218107
ADAM2,MESO,0.674698795180723
ADAM2,OV,
ADAM2,PAAD,0.695364238410596
ADAM2,PCPG,0.668539325842697
ADAM2,PRAD,0.948148148148148
ADAM2,READ,0.644444444444445
ADAM2,SARC,0.659192825112108
ADAM2,SKCM,0.669902912621359
ADAM2,STAD,
ADAM2,TGCT,0.677852348993289
ADAM2,THCA,0.604
ADAM2,UCEC,0.653179190751445
ADAM2,UCS,0.701754385964912
ADAM2,UVM,0.6125
ADAM23,ACC,0.923076923076923
ADAM23,BLCA,0.712846347607053
ADAM23,BRCA,0.780240073868883
ADAM23,CESC,0.613333333333333
ADAM23,CHOL,0.485714285714286
ADAM23,COAD,0.490909090909091
ADAM23,ESCA,0.838150289017341
ADAM23,GBM,1
ADAM23,HNSC,0.961089494163424
ADAM23,KICH,0.138461538461538
ADAM23,KIRC,0.535922330097087
ADAM23,KIRP,0.21505376344086
ADAM23,LGG,1
ADAM23,LIHC,0.378453038674033
ADAM23,LUAD,0.507658643326039
ADAM23,LUSC,0.917695473251029
ADAM23,MESO,0.855421686746988
ADAM23,OV,0.49814126394052
ADAM23,PAAD,0.980132450331126
ADAM23,PCPG,0.99438202247191
ADAM23,PRAD,0.637037037037037
ADAM23,READ,0.480769230769231
