Node,Group,UpBinRatio
A2M,ACC.CIMP-high,0.631578947368421
A2M,ACC.CIMP-intermediate,0.666666666666667
A2M,ACC.CIMP-low,0.75
A2M,BLCA.1,0.225
A2M,BLCA.2,0.829268292682927
A2M,BLCA.3,0.193548387096774
A2M,BLCA.4,0.733333333333333
A2M,BRCA.Basal,0.761627906976744
A2M,BRCA.Her2,0.863013698630137
A2M,BRCA.LumA,0.860236220472441
A2M,BRCA.LumB,0.696335078534031
A2M,BRCA.Normal,0.927536231884058
A2M,GBM_LGG.,1
A2M,GBM_LGG.Classic-like,0.971014492753623
A2M,GBM_LGG.Codel,0.725146198830409
A2M,GBM_LGG.G-CIMP-high,0.915254237288136
A2M,GBM_LGG.G-CIMP-low,0.941176470588235
A2M,GBM_LGG.LGm6-GBM,0.833333333333333
A2M,GBM_LGG.Mesenchymal-like,0.959183673469388
A2M,GBM_LGG.PA-like,0.807692307692308
A2M,GI.CIN,0.5632
A2M,GI.EBV,0.8
A2M,GI.ESCC,0.355555555555556
A2M,GI.GS,0.642201834862385
A2M,GI.HM-indel,0.405797101449275
A2M,GI.HM-SNV,0.473684210526316
A2M,HNSC.Atypical,0.238805970149254
A2M,HNSC.Basal,0.126436781609195
A2M,HNSC.Classical,0.0833333333333333
A2M,HNSC.Mesenchymal,0.794520547945206
A2M,KICH.Eosin.0,0.565217391304348
A2M,KICH.Eosin.1,0.473684210526316
A2M,KIRC.,0.956521739130435
A2M,KIRC.1,1
A2M,KIRC.2,0.988636363636364
A2M,KIRC.3,1
A2M,KIRC.4,0.964705882352941
A2M,KIRP.C1,0.48421052631579
A2M,KIRP.C2a,0.657142857142857
A2M,KIRP.C2b,0.590909090909091
A2M,KIRP.C2c - CIMP,0.777777777777778
A2M,LIHC.,1
A2M,LIHC.iCluster:1,0.984375
A2M,LIHC.iCluster:2,0.981818181818182
A2M,LIHC.iCluster:3,0.841269841269841
A2M,LUAD.1,0.909090909090909
A2M,LUAD.2,0.875
A2M,LUAD.3,0.82
A2M,LUAD.4,0.96875
A2M,LUAD.5,1
A2M,LUAD.6,0.875
A2M,LUSC.basal,0.619047619047619
A2M,LUSC.classical,0.396825396825397
A2M,LUSC.primitive,0.576923076923077
A2M,LUSC.secretory,0.846153846153846
A2M,OVCA.Differentiated,0.353846153846154
A2M,OVCA.Immunoreactive,0.552631578947369
A2M,OVCA.Mesenchymal,0.523809523809524
A2M,OVCA.Proliferative,0.181818181818182
A2M,PCPG.Cortical admixture,0.863636363636364
A2M,PCPG.Kinase signaling,0.514705882352941
A2M,PCPG.Pseudohypoxia,0.852459016393443
A2M,PCPG.Wnt-altered,0.727272727272727
A2M,PRAD.1-ERG,0.776315789473684
A2M,PRAD.2-ETV1,0.785714285714286
A2M,PRAD.3-ETV4,0.785714285714286
A2M,PRAD.4-FLI1,1
A2M,PRAD.5-SPOP,0.756756756756757
A2M,PRAD.6-FOXA1,0.888888888888889
A2M,PRAD.7-IDH1,1
A2M,PRAD.8-other,0.848837209302326
A2M,SKCM.-,1
A2M,SKCM.BRAF_Hotspot_Mutants,0.875
A2M,SKCM.NF1_Any_Mutants,0.75
A2M,SKCM.RAS_Hotspot_Mutants,0.636363636363636
A2M,SKCM.Triple_WT,0.9
A2M,THCA.,0.833333333333333
A2M,THCA.1,0.849624060150376
A2M,THCA.2,0.880597014925373
A2M,THCA.3,0.646341463414634
A2M,THCA.4,0.704761904761905
A2M,THCA.5,0.880434782608696
A2M,UCEC.,0.6
A2M,UCEC.CN_HIGH,0.46875
A2M,UCEC.CN_LOW,0.680555555555556
A2M,UCEC.MSI,0.491935483870968
A2M,UCEC.POLE,0.455696202531646
A2M,UCS.1,0.733333333333333
A2M,UCS.2,0.6
A2M,,0.58615664845173
AANAT,ACC.CIMP-high,0.263157894736842
AANAT,ACC.CIMP-intermediate,0.444444444444444
AANAT,ACC.CIMP-low,0.25
AANAT,BLCA.1,0.525
AANAT,BLCA.2,0.365853658536585
AANAT,BLCA.3,0.645161290322581
AANAT,BLCA.4,0.8
AANAT,BRCA.Basal,0.63953488372093
AANAT,BRCA.Her2,0.520547945205479
AANAT,BRCA.LumA,0.466535433070866
AANAT,BRCA.LumB,0.43979057591623
AANAT,BRCA.Normal,0.449275362318841
AANAT,GBM_LGG.,0.974358974358974
AANAT,GBM_LGG.Classic-like,1
AANAT,GBM_LGG.Codel,0.994152046783626
AANAT,GBM_LGG.G-CIMP-high,0.995762711864407
AANAT,GBM_LGG.G-CIMP-low,1
AANAT,GBM_LGG.LGm6-GBM,0.916666666666667
AANAT,GBM_LGG.Mesenchymal-like,0.979591836734694
AANAT,GBM_LGG.PA-like,0.923076923076923
AANAT,GI.CIN,0.540064102564103
AANAT,GI.EBV,0.466666666666667
AANAT,GI.ESCC,0.844444444444445
AANAT,GI.GS,0.614678899082569
AANAT,GI.HM-indel,0.608695652173913
AANAT,GI.HM-SNV,0.526315789473684
AANAT,HNSC.Atypical,0.761194029850746
AANAT,HNSC.Basal,0.632183908045977
AANAT,HNSC.Classical,0.645833333333333
AANAT,HNSC.Mesenchymal,0.684931506849315
AANAT,KICH.Eosin.0,0.652173913043478
AANAT,KICH.Eosin.1,0.631578947368421
AANAT,KIRC.,0.565217391304348
AANAT,KIRC.1,0.736111111111111
AANAT,KIRC.2,0.772727272727273
AANAT,KIRC.3,0.764044943820225
AANAT,KIRC.4,0.776470588235294
AANAT,KIRP.C1,0.926315789473684
AANAT,KIRP.C2a,0.742857142857143
AANAT,KIRP.C2b,0.772727272727273
AANAT,KIRP.C2c - CIMP,0.777777777777778
AANAT,LIHC.,0.2
AANAT,LIHC.iCluster:1,0.359375
AANAT,LIHC.iCluster:2,0.236363636363636
AANAT,LIHC.iCluster:3,0.333333333333333
AANAT,LUAD.1,0.5
AANAT,LUAD.2,0.53125
AANAT,LUAD.3,0.56
AANAT,LUAD.4,0.46875
AANAT,LUAD.5,0.725490196078431
AANAT,LUAD.6,0.525
AANAT,LUSC.basal,0.80952380952381
AANAT,LUSC.classical,0.777777777777778
AANAT,LUSC.primitive,0.576923076923077
AANAT,LUSC.secretory,0.58974358974359
AANAT,OVCA.Differentiated,0.876923076923077
AANAT,OVCA.Immunoreactive,0.81578947368421
AANAT,OVCA.Mesenchymal,0.761904761904762
AANAT,OVCA.Proliferative,0.766233766233766
AANAT,PCPG.Cortical admixture,0.818181818181818
AANAT,PCPG.Kinase signaling,0.676470588235294
AANAT,PCPG.Pseudohypoxia,0.918032786885246
AANAT,PCPG.Wnt-altered,0.954545454545455
AANAT,PRAD.1-ERG,0.5
AANAT,PRAD.2-ETV1,0.464285714285714
AANAT,PRAD.3-ETV4,0.5
AANAT,PRAD.4-FLI1,1
AANAT,PRAD.5-SPOP,0.540540540540541
AANAT,PRAD.6-FOXA1,0.555555555555556
AANAT,PRAD.7-IDH1,0.666666666666667
AANAT,PRAD.8-other,0.383720930232558
AANAT,SKCM.-,0.444444444444444
AANAT,SKCM.BRAF_Hotspot_Mutants,0.78125
AANAT,SKCM.NF1_Any_Mutants,1
AANAT,SKCM.RAS_Hotspot_Mutants,0.727272727272727
AANAT,SKCM.Triple_WT,0.9
AANAT,THCA.,1
AANAT,THCA.1,0.917293233082707
AANAT,THCA.2,0.895522388059702
AANAT,THCA.3,0.560975609756098
AANAT,THCA.4,0.6
AANAT,THCA.5,0.815217391304348
AANAT,UCEC.,0.533333333333333
AANAT,UCEC.CN_HIGH,0.76875
AANAT,UCEC.CN_LOW,0.583333333333333
AANAT,UCEC.MSI,0.580645161290323
AANAT,UCEC.POLE,0.69620253164557
AANAT,UCS.1,0.933333333333333
AANAT,UCS.2,0.742857142857143
AANAT,,0.700655498907502
ABCA1,ACC.CIMP-high,0.315789473684211
ABCA1,ACC.CIMP-intermediate,0.666666666666667
ABCA1,ACC.CIMP-low,0.71875
ABCA1,BLCA.1,0.525
ABCA1,BLCA.2,0.731707317073171
ABCA1,BLCA.3,0.67741935483871
ABCA1,BLCA.4,0.666666666666667
ABCA1,BRCA.Basal,0.494186046511628
ABCA1,BRCA.Her2,0.63013698630137
ABCA1,BRCA.LumA,0.602362204724409
ABCA1,BRCA.LumB,0.607329842931937
ABCA1,BRCA.Normal,0.659420289855073
ABCA1,GBM_LGG.,0.974358974358974
