Gene,HGNC Symbol,Friendly Name,Entrez ID,Gene Family,Super Category,Immune Checkpoint,Function,Reference(s) [PMID],X10,Notes
ADORA2A,ADORA2A,ADORA2A,135,Receptor,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27249753,,
ARG1,ARG1,ARG1,383,Enzyme,Other,Inhibitory,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/19764983 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
BTLA,BTLA,BTLA,151888,Immunoglobulin,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059 | https://www.ncbi.nlm.nih.gov/pubmed/20038807,,
BTN3A1,BTN3A1,BTN3A1,11119,Butyrophilins,Co-inhibitor,Stimulatory,Activation of γδ T cells,https://www.ncbi.nlm.nih.gov/pubmed/26449179,,
BTN3A2,BTN3A2,BTN3A2,11118,Butyrophilins,Co-inhibitor,Stimulatory,Higher expression leads to increased CD4+ infiltration,http://www.ncbi.nlm.nih.gov/pubmed/18398031 | http://www.ncbi.nlm.nih.gov/pubmed/22685580,,
CCL5 (RANTES),CCL5,RANTES,6352,Chemokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/20233026 | https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
CD27 (TNFRSF7),CD27,CD27,939,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26098609,https://www.rndsystems.com/research-area/co--stimulatory-and-co--inhibitory-molecules,https://www.rndsystems.com/pathways/t-cell-co-signaling-pathway-lig-recept-interactions
CD274 (PD-L1),CD274,PD-L1,29126,B7/CD28,Co-inhibitor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
CD276 (B7-H3),CD276,CD276,80381,B7/CD28,Co-inhibitor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27208063,,
CD28,CD28,CD28,940,B7/CD28,Co-stimulator,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/7584490,,
CD40,CD40,CD40,958,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23460534 | https://www.ncbi.nlm.nih.gov/pubmed/24555495,,
CD40LG,CD40LG,CD40LG,959,TNF,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
CD70,CD70,CD70,970,TNF,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
CD80 (B7-1),CD80,CD80,941,B7/CD28,Co-stimulator,Stimulatory,T cell activation,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
CTLA4,CTLA4,CTLA4,1493,Receptor,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
CX3CL1,CX3CL1,CX3CL1,6376,CXC chemokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/12455035 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
CXCL10 (IP-10),CXCL10,IP-10,3627,CXC chemokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26503055 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
CXCL9,CXCL9,CXCL9,4283,CXC chemokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26503055 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
EDNRB,EDNRB,EDNRB,1910,Receptor,Receptor,Inhibitory,Suppress T cell adhesion and homing,https://www.ncbi.nlm.nih.gov/pubmed/19567593/ | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
ENTPD1,ENTPD1,ENTPD1,953,Ectonucleotidase,Other,Stimulatory,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/27054314,,
GZMA,GZMA,GZMA,3001,Granzyme,Other,Stimulatory,Granzyme,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
HAVCR2 (TIM-3),HAVCR2,TIM-3,84868,Immunoglobulin,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
HLA-A,HLA-A,HLA-A,3105,MHC Class I,Antigen presentation,,MHC Class I,https://www.ncbi.nlm.nih.gov/pubmed/21062157,,
HLA-B,HLA-B,HLA-B,3106,MHC Class I,Antigen presentation,,MHC Class I,https://www.ncbi.nlm.nih.gov/pubmed/21062157,,
HLA-C,HLA-C,HLA-C,3107,MHC Class I,Antigen presentation,,MHC Class I,https://www.ncbi.nlm.nih.gov/pubmed/21062157,,
HLA-DPA1,HLA-DPA1,HLA-DPA1,3113,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DPB1,HLA-DPB1,HLA-DPB1,3115,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DQA1,HLA-DQA1,HLA-DQA1,3117,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DQA2,HLA-DQA2,HLA-DQA2,3118,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DQB1,HLA-DQB1,HLA-DQB1,3119,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DQB2,HLA-DQB2,HLA-DQB2,3120,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DRA,HLA-DRA,HLA-DRA,3122,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DRB1,HLA-DRB1,HLA-DRB1,3123,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DRB3,HLA-DRB3,HLA-DRB3,3125,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DRB4,HLA-DRB4,HLA-DRB4,3126,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HLA-DRB5,HLA-DRB5,HLA-DRB5,3127,MHC Class II,Antigen presentation,,MHC Class II,https://www.ncbi.nlm.nih.gov/pubmed/23162758/,,
HMGB1,HMGB1,HMGB1,3146,HMG-box,Other,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
ICAM1,ICAM1,ICAM1,3383,,Cell adhesion,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
ICOS,ICOS,ICOS,29851,B7/CD28,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/27054314,,
ICOSLG (B7-H2),ICOSLG,ICOSLG,23308,Ligand,Co-stimulator,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/24778280,,
IDO1,IDO1,IDO1,3620,Enzyme,Other,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IFNA1,IFNA1,IFNA1,3439,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IFNA2,IFNA2,IFNA2,3440,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IFNG,IFNG,IFNG,3458,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL10,IL10,IL10,3586,Cytokine,Ligand,Inhibitory,Anti-inflammatory cytokine,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL12,IL12A,IL12,3592,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,"IL12A, and IL12B genes"
IL13,IL13,IL13,3596,Cytokine,Ligand,Inhibitory,Anti-inflammatory cytokine,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL1A,IL1A,IL1A,3552,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL1B,IL1B,IL1B,3553,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL2,IL2,IL2,3558,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
IL2RA (CD122),IL2RA,IL2RA,3559,Type I cytokine receptor,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23352221/,,
IL4,IL4,IL4,3565,Cytokine,Ligand,Inhibitory,Differentiation of Th0 to Th2,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
ITGB2 (LFA1),ITGB2,ITGB2,3689,Integrin,Cell adhesion,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
KIR2DL1,KIR2DL1,KIR2DL1,3802,KIR,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27054314 | https://www.ncbi.nlm.nih.gov/pubmed/20567250 | https://www.ncbi.nlm.nih.gov/pubmed/26000725,"Lirilumab, IPH-2101",https://www.ncbi.nlm.nih.gov/pubmed/21154164
